gene_symbol,uniprot_id
AKT1,P31749
APC,P25054
ATM,Q13315
ATR,Q13535
BCL2,P10415
BRAF,P15056
BRCA1,P38398
BRCA2,P51587
CASP3,P42574
CASP8,Q14790
CASP9,P55211
CDK2,P24941
CDK4,P11802
CDK6,Q00534
CHEK1,O14757
CHEK2,O96017
CTNNB1,P35222
EGFR,P00533
ERBB2,P04626
GRB2,P62993
GSK3B,P49841
HSP90AA1,P07900
HSP90AB1,P08238
JAK2,O60674
KRAS,P01116
MAX,P61244
MDM2,Q00987
MDM4,O15151
MTOR,P42345
MYC,P01106
NFKB1,P19838
PIK3CA,P42336
PTEN,P60484
RB1,P06400
RELA,Q04206
SOS1,Q07889
SRC,P12931
STAT3,P40763
TP53,P04637
