gene_a,gene_b,uniprot_a,uniprot_b,string_score,string_experimental,string_database,biogrid_systems,huri,sources,num_sources
MDM2,TP53,Q00987,P04637,900,0,900,,0,STRING,1
MDM4,TP53,O15151,P04637,900,200,0,Reconstituted Complex,0,STRING|BioGRID,2
ATM,TP53,Q13315,P04637,600,400,0,,1,STRING|HuRI,2
CHEK2,TP53,O96017,P04637,,,,,1,HuRI,1
CREBBP,TP53,,P04637,,,,,1,HuRI,1
EP300,TP53,,P04637,950,900,0,Affinity Capture-Western; Two-hybrid,0,STRING|BioGRID,2
BRCA1,BRCA2,P38398,P51587,,,,Affinity Capture-Western,0,BioGRID,1
ATM,BRCA1,Q13315,P38398,,,,Co-crystal Structure; Proximity Label-MS,0,BioGRID,1
BRCA1,CHEK2,P38398,O96017,900,400,0,Affinity Capture-MS,0,STRING|BioGRID,2
ATR,BRCA1,Q13535,P38398,900,200,0,Reconstituted Complex; Proximity Label-MS,1,STRING|BioGRID|HuRI,3
MDM2,MDM4,Q00987,O15151,,,,Affinity Capture-MS,0,BioGRID,1
CCNE1,CDK2,,P24941,,,,Reconstituted Complex,0,BioGRID,1
CCND1,CDK4,,P11802,800,0,400,,0,STRING,1
CCND1,CDK6,,Q00534,600,100,900,,0,STRING,1
E2F1,RB1,,P06400,900,800,200,Affinity Capture-MS,0,STRING|BioGRID,2
CDK4,RB1,P11802,P06400,,,,,1,HuRI,1
CDK6,RB1,Q00534,P06400,600,100,200,,0,STRING,1
MAX,MYC,P61244,P01106,500,400,600,,0,STRING,1
BRAF,KRAS,P15056,P01116,,,,,1,HuRI,1
KRAS,RAF1,P01116,,,,,Affinity Capture-MS; Two-hybrid; Co-fractionation,1,BioGRID|HuRI,2
BRAF,MAP2K1,P15056,,800,100,200,Co-crystal Structure,0,STRING|BioGRID,2
BRAF,MAP2K2,P15056,,600,0,0,,0,STRING,1
MAP2K1,MAPK1,,,700,900,200,Proximity Label-MS; Two-hybrid,0,STRING|BioGRID,2
MAP2K1,MAPK3,,,900,400,600,,0,STRING,1
MAP2K2,MAPK1,,,900,100,600,Reconstituted Complex; Proximity Label-MS,1,STRING|BioGRID|HuRI,3
EGFR,GRB2,P00533,P62993,600,200,0,,0,STRING,1
EGFR,ERBB2,P00533,P04626,400,200,600,,0,STRING,1
EGFR,ERBB3,P00533,,,,,Proximity Label-MS,1,BioGRID|HuRI,2
GRB2,SOS1,P62993,Q07889,,,,Affinity Capture-MS; Two-hybrid,0,BioGRID,1
ERBB2,ERBB3,P04626,,700,900,900,,0,STRING,1
ERBB2,GRB2,P04626,P62993,950,800,0,Proximity Label-MS,0,STRING|BioGRID,2
AKT1,PIK3CA,P31749,P42336,700,200,200,,0,STRING,1
AKT1,MTOR,P31749,P42345,900,100,400,Proximity Label-MS,0,STRING|BioGRID,2
PIK3CA,PTEN,P42336,P60484,,,,Co-fractionation; Affinity Capture-MS; Co-crystal Structure,0,BioGRID,1
JAK1,STAT3,,P40763,800,200,0,Co-fractionation; Co-crystal Structure,0,STRING|BioGRID,2
JAK2,STAT3,O60674,P40763,800,0,400,,1,STRING|HuRI,2
JAK2,STAT5A,O60674,,700,0,600,,0,STRING,1
JAK2,STAT5B,O60674,,600,100,0,,0,STRING,1
SRC,STAT3,P12931,P40763,900,200,600,Co-crystal Structure,0,STRING|BioGRID,2
ABL1,BCR,,,900,400,200,Reconstituted Complex; Two-hybrid,1,STRING|BioGRID|HuRI,3
APC,CTNNB1,P25054,P35222,,,,Two-hybrid; Reconstituted Complex; Co-crystal Structure,0,BioGRID,1
CTNNB1,GSK3B,P35222,P49841,400,200,200,Reconstituted Complex; Co-crystal Structure; Co-fractionation,0,STRING|BioGRID,2
AXIN1,CTNNB1,,P35222,500,600,400,,0,STRING,1
APC,AXIN1,P25054,,600,0,0,,0,STRING,1
AXIN1,GSK3B,,P49841,500,0,0,,0,STRING,1
SMAD2,SMAD4,,,400,100,400,,0,STRING,1
SMAD3,SMAD4,,,900,600,0,,0,STRING,1
